canton,canton_norm,area_km2,n_sismos,mag_max,prof_media_km,energia_total_j,primer_sismo,ultimo_sismo,n_sismos_someros,energia_somera_j,mag_max_somera,provincia,poblacion_2022,densidad_hab_km2
El Guabo,EL GUABO,607.6949460703303,2.0,5.0,74.905,2173090255972.7751,2013-11-25 19:43:01.120000+00:00,2016-06-27 04:15:45.930000+00:00,1.0,177827941003.89227,4.3,El Oro,59536.0,97.97020756053766
El Pan,EL PAN,133.20543922399852,0.0,,,0.0,,,0.0,0.0,,Azuay,2776.0,20.839989839543062
El Pangui,EL PANGUI,634.5427182702073,0.0,,,0.0,,,0.0,0.0,,Zamora Chinchipe,12768.0,20.121576739240123
El Piedrero,EL PIEDRERO,171.02470489953066,3.0,5.0,75.03,2997636782223.426,1991-08-19 00:46:14.780000+00:00,2019-08-18 09:28:29.560000+00:00,1.0,501187233627.2715,4.6,,0.0,0.0
El Tambo,EL TAMBO,64.04795983678049,0.0,,,0.0,,,0.0,0.0,,Cañar,9285.0,144.96948885900267
El Triunfo,EL TRIUNFO,397.98490828016656,4.0,4.9,100.608,3414912011877.2983,1989-06-26 14:01:14.560000+00:00,2026-05-06 22:06:49.679000+00:00,0.0,0.0,,Guayas,60541.0,152.11883350456444
Eloy Alfaro,ELOY ALFARO,4289.980603441904,16.0,5.3,43.909687500000004,19545939148504.06,1989-10-24 04:27:19.590000+00:00,2023-09-26 19:25:02.218000+00:00,14.0,19168857964173.684,5.3,Esmeraldas,46305.0,10.793755095966851
Empalme,EMPALME,720.8679310890168,1.0,4.0,119.5,63095734448.019424,1994-03-16 22:55:46.900000+00:00,1994-03-16 22:55:46.900000+00:00,0.0,0.0,,Guayas,79767.0,110.65411091251599
Esmeraldas,ESMERALDAS,1348.9798647246323,43.0,6.3,25.711232558139535,444411940126229.94,1984-02-06 04:40:19.140000+00:00,2025-07-08 17:36:09.023000+00:00,43.0,444411940126229.94,6.3,Esmeraldas,211848.0,157.04311497877293
Espejo,ESPEJO,561.1115523114153,12.0,5.6,9.971666666666666,20805421365713.906,2013-10-16 10:24:47.590000+00:00,2023-10-05 20:55:06.784000+00:00,12.0,20805421365713.906,5.6,Carchi,14522.0,25.880771729219955
Espindola,ESPINDOLA,518.7862579444432,0.0,,,0.0,,,0.0,0.0,,Loja,14119.0,27.215447178464014
Flavio Alfaro,FLAVIO ALFARO,1356.184338544058,2.0,4.4,68.405,340313736964.33264,2016-04-18 10:29:17.470000+00:00,2017-11-19 12:38:51.730000+00:00,2.0,340313736964.33264,4.4,Manabí,26415.0,19.477440676212222
Giron,GIRON,352.3134502642756,0.0,,,0.0,,,0.0,0.0,,Azuay,12182.0,34.577164144207664
Gnral. Antonio Elizalde,GNRAL. ANTONIO ELIZALDE,153.87778691958502,3.0,4.7,50.11666666666667,1063601666391.9248,2014-03-25 10:36:00.470000+00:00,2019-01-06 11:19:34.370000+00:00,2.0,355655882007.78455,4.3,Guayas,11810.0,76.74921921103393
Gonzalo Pizarro,GONZALO PIZARRO,2243.207355416037,8.0,7.2,21.541,4238427522941791.5,1986-06-27 21:07:56.860000+00:00,2023-05-21 18:39:37.665000+00:00,8.0,4238427522941791.5,7.2,Sucumbíos,10356.0,4.616603977780432
Gonzanama,GONZANAMA,703.2045791287003,2.0,5.9,92.3,46080896759719.29,1983-11-03 07:41:11.470000+00:00,1995-12-07 04:55:25.010000+00:00,0.0,0.0,,Loja,12247.0,17.415984428279096
Guachapala,GUACHAPALA,40.279400063888055,0.0,,,0.0,,,0.0,0.0,,Azuay,3586.0,89.02813831169694
Gualaceo,GUALACEO,352.0864953392072,0.0,,,0.0,,,0.0,0.0,,Azuay,43188.0,122.66304039407082
Gualaquiza,GUALAQUIZA,2204.1997918452494,2.0,5.1,91.55000000000001,3173196320498.0254,2003-09-01 23:20:44.100000+00:00,2013-02-27 15:56:09.980000+00:00,0.0,0.0,,Morona Santiago,21892.0,9.931949037012238
Guamote,GUAMOTE,1228.7846059272424,6.0,4.9,101.63833333333332,3165472227495.1797,1984-04-28 21:43:47+00:00,2013-09-14 17:00:08.540000+00:00,2.0,2120483329006.8955,4.9,Chimborazo,35769.0,29.109251391547723
Guano,GUANO,463.1926459124981,0.0,,,0.0,,,0.0,0.0,,Chimborazo,48327.0,104.33455804289576
Guaranda,GUARANDA,1903.8918703413865,1.0,4.4,33.0,251188643150.95822,1998-10-16 04:17:19.730000+00:00,1998-10-16 04:17:19.730000+00:00,1.0,251188643150.95822,4.4,Bolívar,98130.0,51.54179264519068
Guayaquil,GUAYAQUIL,4133.267154587694,45.0,5.8,54.235933333333335,67117401653392.0,1986-06-12 18:16:20.740000+00:00,2025-09-11 09:19:41.988000+00:00,34.0,48897900592606.086,5.8,Guayas,2746403.0,664.46297741767
Huamboya,HUAMBOYA,667.6275543671288,8.0,4.5,150.919125,1313728425188.0718,2005-10-26 22:40:21.490000+00:00,2025-05-06 20:33:39.240000+00:00,0.0,0.0,,Morona Santiago,10830.0,16.2216192683452
Huaquillas,HUAQUILLAS,63.90843028636222,1.0,5.0,36.0,1995262314968.8828,1989-11-04 15:39:15.450000+00:00,1989-11-04 15:39:15.450000+00:00,1.0,1995262314968.8828,5.0,El Oro,56303.0,880.9948820166034
Ibarra,IBARRA,1111.1860821557116,2.0,5.1,79.2,3818382931264.449,1983-03-15 17:15:36.080000+00:00,2000-10-08 20:12:32.350000+00:00,1.0,2818382931264.449,5.1,Imbabura,217469.0,195.7088947497507
Isabela,ISABELA,5392.046139045214,0.0,,,0.0,,,0.0,0.0,,Galápagos,3050.0,0.5656479787726878
Isidro Ayora,ISIDRO AYORA,491.1625852026685,3.0,4.7,56.17433333333333,1151884267431.0908,1995-10-28 06:09:52.020000+00:00,2024-04-11 04:20:38.804000+00:00,3.0,1151884267431.0908,4.7,Guayas,14305.0,29.124775442936734
