,,,,,,
,,,,,,
,Tabla N°:,1.1 ,,,,
,Nombre de la tabla:,"Población por sexo al nacer, según provincia, cantón y área de residencia",,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,
,,,,,,
,,,,,,
Índice,"Provincia, cantón y área de residencia",,,Número total de personas ,Sexo al nacer,
,,,,,Hombres,Mujeres
,,,,,,
,Guayas,El Triunfo,Rural,"19,499","9,795","9,704"
,Guayas,Milagro,Total Milagro,"195,943","95,390","100,553"
,Guayas,Milagro,Urbana,"159,970","77,547","82,423"
,Guayas,Milagro,Rural,"35,973","17,843","18,130"
,Guayas,Naranjal,Total Naranjal,"83,691","41,901","41,790"
,Guayas,Naranjal,Urbana,"39,323","19,224","20,099"
,Guayas,Naranjal,Rural,"44,368","22,677","21,691"
,Guayas,Naranjito,Total Naranjito,"44,169","21,637","22,532"
,Guayas,Naranjito,Urbana,"34,664","16,911","17,753"
,Guayas,Naranjito,Rural,"9,505","4,726","4,779"
,Guayas,Palestina,Total Palestina,"18,019","9,079","8,940"
,Guayas,Palestina,Urbana,"10,392","5,148","5,244"
,Guayas,Palestina,Rural,"7,627","3,931","3,696"
,Guayas,Pedro Carbo,Total Pedro Carbo,"52,177","26,458","25,719"
,Guayas,Pedro Carbo,Urbana,"24,882","12,344","12,538"
,Guayas,Pedro Carbo,Rural,"27,295","14,114","13,181"
,Guayas,Samborondón,Total Samborondón,"98,540","47,699","50,841"
,Guayas,Samborondón,Urbana,"72,425","34,563","37,862"
,Guayas,Samborondón,Rural,"26,115","13,136","12,979"
,Guayas,Santa Lucía,Total Santa Lucía,"43,700","22,273","21,427"
,Guayas,Santa Lucía,Urbana,"10,924","5,378","5,546"
,Guayas,Santa Lucía,Rural,"32,776","16,895","15,881"
,Guayas,Salitre,Total Salitre,"61,060","30,716","30,344"
,Guayas,Salitre,Urbana,"13,571","6,564","7,007"
,Guayas,Salitre,Rural,"47,489","24,152","23,337"
,Guayas,San Jacinto de Yaguachi,Total San Jacinto de Yaguachi,"72,699","36,026","36,673"
,Guayas,San Jacinto de Yaguachi,Urbana,"22,972","11,095","11,877"
,Guayas,San Jacinto de Yaguachi,Rural,"49,727","24,931","24,796"
,Guayas,Playas,Total Playas,"58,768","29,099","29,669"
,Guayas,Playas,Urbana,"48,156","23,816","24,340"
,Guayas,Playas,Rural,"10,612","5,283","5,329"
,Guayas,Simón Bolívar,Total Simón Bolívar,"29,427","14,820","14,607"
,Guayas,Simón Bolívar,Urbana,"8,696","4,236","4,460"
,Guayas,Simón Bolívar,Rural,"20,731","10,584","10,147"
,Guayas,Coronel Marcelino Maridueña,Total Coronel Marcelino Maridueña,"13,183","6,701","6,482"
,Guayas,Coronel Marcelino Maridueña,Urbana,"7,796","3,917","3,879"
,Guayas,Coronel Marcelino Maridueña,Rural,"5,387","2,784","2,603"
,Guayas,Lomas de Sargentillo,Total Lomas de Sargentillo,"22,254","11,195","11,059"
,Guayas,Lomas de Sargentillo,Urbana,"16,603","8,269","8,334"
,Guayas,Lomas de Sargentillo,Rural,"5,651","2,926","2,725"
,Guayas,Nobol,Total Nobol,"23,850","11,771","12,079"
,Guayas,Nobol,Urbana,"10,010","4,878","5,132"
,Guayas,Nobol,Rural,"13,840","6,893","6,947"
,Guayas,General  Antonio Elizalde,Total General  Antonio Elizalde,"11,810","5,775","6,035"
,Guayas,General  Antonio Elizalde,Urbana,"6,738","3,212","3,526"
,Guayas,General  Antonio Elizalde,Rural,"5,072","2,563","2,509"
,Guayas,Isidro Ayora,Total Isidro Ayora,"14,305","7,249","7,056"
,Guayas,Isidro Ayora,Urbana,"8,275","4,099","4,176"
,Guayas,Isidro Ayora,Rural,"6,030","3,150","2,880"
,Imbabura,Total Imbabura,Total Imbabura,"469,879","226,633","243,246"
,Imbabura,Total Imbabura,Urbana,"245,628","117,109","128,519"
,Imbabura,Total Imbabura,Rural,"224,251","109,524","114,727"
,Imbabura,Ibarra,Total Ibarra,"217,469","104,110","113,359"
,Imbabura,Ibarra,Urbana,"157,941","75,261","82,680"
,Imbabura,Ibarra,Rural,"59,528","28,849","30,679"
,Imbabura,Antonio Ante,Total Antonio Ante,"53,771","25,895","27,876"
,Imbabura,Antonio Ante,Urbana,"25,115","11,968","13,147"
,Imbabura,Antonio Ante,Rural,"28,656","13,927","14,729"
,Imbabura,Cotacachi,Total Cotacachi,"53,001","26,134","26,867"
,Imbabura,Cotacachi,Urbana,"10,526","5,028","5,498"
,Imbabura,Cotacachi,Rural,"42,475","21,106","21,369"
,Imbabura,Otavalo,Total Otavalo,"114,303","55,015","59,288"
